Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
27,0.0,0.0,0.0,2062.0,27.0,81.0,2062.0,0.1,6192.530660238049,0.0,0.0,211.1936218738556,,,,,,,,,,,,,,,,,,,,,3503.4162887706093,1868.680827169638,5920.589198655744,46.44405686164777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.0,0.0,0.0,2109.0,28.0,47.0,2109.0,0.1,2764.659498300899,0.0,0.0,216.54888701438904,,,,,,,,,,,,,,,,,,,,,1475.880392134097,899.360774986426,2700.691802784363,25.97389738497467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.0,0.0,0.0,2270.0,29.0,161.0,2270.0,0.1,16642.91895905353,0.0,0.0,232.63698601722717,,,,,,,,,,,,,,,,,,,,,9496.27526138221,4584.103690053795,15144.292081842614,99.01200000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.0,0.0,0.0,2406.0,30.0,136.0,2406.0,0.1,14183.153519448488,0.0,0.0,246.4033567905426,,,,,,,,,,,,,,,,,,,,,8071.441556942156,4021.3247902493245,13111.647651359424,87.90589320439483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,47.0,1.0,47.0,2453.0,0.1,2504.3130895751087,0.0,0.0,585.2783851623535,,,,,,,,,,,,,,,,,,,,,1308.4683675003662,809.0001600887065,2447.708044683914,22.58484013088742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,102.0,2.0,55.0,2508.0,0.1,3433.058771599296,0.0,0.0,591.1735599040985,,,,,,,,,,,,,,,,,,,,,1851.937864215894,1092.8439250314887,3337.874600393609,32.46236944589835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,214.0,3.0,112.0,2620.0,0.1,9505.198439068281,0.0,0.0,602.9274256229401,,,,,,,,,,,,,,,,,,,,,5338.638267700538,2636.156712146597,8925.112252478528,67.06188280240632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,306.0,4.0,92.0,2712.0,0.1,7177.676461347382,0.0,0.0,612.5375034809113,,,,,,,,,,,,,,,,,,,,,4242.513021182441,2068.5033098571002,6800.96038320463,57.69477793509986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,350.0,5.0,44.0,2756.0,0.1,2689.3043155593973,0.0,0.0,617.4938766956329,,,,,,,,,,,,,,,,,,,,,1486.0789926490302,842.6583692524559,2629.172555821929,24.115495517510425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,445.0,6.0,95.0,2851.0,0.1,7879.850067112939,0.0,0.0,627.2625830173492,,,,,,,,,,,,,,,,,,,,,4494.836980866378,2306.3394259665147,7467.768623408827,55.36074667224586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,522.0,7.0,77.0,2928.0,0.1,6130.506501898704,0.0,0.0,635.2557497024536,,,,,,,,,,,,,,,,,,,,,3418.626948643289,1874.1837381204457,5879.024396622019,49.08961537584646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,609.0,8.0,87.0,3015.0,0.1,6751.975222133693,0.0,0.0,644.0505681037903,,,,,,,,,,,,,,,,,,,,,3839.2368162942957,2023.9482054456612,6430.816821943152,51.01430766515927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,702.0,9.0,93.0,3108.0,0.1,6083.2502380919095,0.0,0.0,653.5641238689423,,,,,,,,,,,,,,,,,,,,,3294.00473749521,1794.2775573832912,5788.478966959811,54.50182537162538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,767.0,10.0,65.0,3173.0,0.1,4830.7514337280845,0.0,0.0,660.4603588581085,,,,,,,,,,,,,,,,,,,,,2759.639522195915,1455.6253357353935,4660.691587268302,40.61597920018199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1.0,0.0,0.0,829.0,11.0,62.0,3235.0,0.1,4208.49168620545,0.0,0.0,666.7815763950348,,,,,,,,,,,,,,,,,,,,,2371.470843982002,1272.7717265799606,4069.595615513976,35.16865928123454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1.0,0.0,0.0,878.0,12.0,49.0,3284.0,0.1,3145.628442766668,0.0,0.0,672.1084032058716,,,,,,,,,,,,,,,,,,,,,1780.4064293530955,979.8262927298364,3064.51449219827,28.369485039991535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1.0,0.0,0.0,924.0,13.0,46.0,3330.0,0.1,2479.693966894983,0.0,0.0,677.078724861145,,,,,,,,,,,,,,,,,,,,,1338.7499053465133,796.4016965849185,2422.954958210507,23.221200972084507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1.0,0.0,0.0,952.0,14.0,28.0,3358.0,0.1,1100.9481583701406,0.0,0.0,680.2249555587769,,,,,,,,,,,,,,,,,,,,,581.7744504679348,356.09821749333986,1086.8310490240378,10.43159327060708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
