Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
27,1.0,0.0,0.0,649.0,7.0,166.0,2837.0,0.0,155.26304256628336,0.0,0.0,620.9092526435852,,,,,,,,,,,,,,,,,,,,,70.08176009922325,44.51891295223287,143.9171607942396,-6.8913244941294405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,754.0,8.0,105.0,2942.0,0.0,39.21636016104958,0.0,0.0,632.0157580375671,,,,,,,,,,,,,,,,,,,,,19.414959220500375,15.562572784201977,44.71170122122047,-11.106071850902815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,822.0,9.0,68.0,3010.0,0.0,26.645598319411388,0.0,0.0,639.2736463546753,,,,,,,,,,,,,,,,,,,,,8.338791030341604,13.038785373686393,26.130795990533255,-15.641384870368471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,879.0,10.0,57.0,3067.0,0.0,42.00736215543114,0.0,0.0,645.3287751674652,,,,,,,,,,,,,,,,,,,,,15.132921057740967,15.70596772470886,41.227198825592296,-10.02769099664298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,960.0,11.0,81.0,3148.0,0.0,66.34204148906286,0.0,0.0,654.0261249542236,,,,,,,,,,,,,,,,,,,,,26.96679241785793,22.406907007522054,64.2862394959688,-9.717522441191855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,1018.0,12.0,58.0,3206.0,0.0,34.82805943016014,0.0,0.0,660.3264348506927,,,,,,,,,,,,,,,,,,,,,8.374766311012506,15.198349922908909,34.41111079459985,-15.172382240343866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,1053.0,13.0,35.0,3241.0,0.0,19.332955595981247,0.0,0.0,664.5257914066315,,,,,,,,,,,,,,,,,,,,,3.8754321279480703,9.295072632908056,19.235767771277843,-10.678589562738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,1124.0,14.0,71.0,3312.0,0.0,52.80256907828833,0.0,0.0,672.2078835964203,,,,,,,,,,,,,,,,,,,,,18.936962693167764,19.460257169664885,51.56111539675159,-12.235225384528455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,1229.0,15.0,105.0,3417.0,0.0,82.46036137537781,0.0,0.0,683.3274104595184,,,,,,,,,,,,,,,,,,,,,32.09962421160472,27.210649714442955,79.24831822128357,-8.842696749937568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,1327.0,16.0,98.0,3515.0,0.0,79.09951896151964,0.0,0.0,693.8559308052063,,,,,,,,,,,,,,,,,,,,,31.12224577975968,26.930342017496503,76.20186640604881,-12.962813531837705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
