Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
30,1.0,0.0,0.0,1703.0,10.0,284.0,4217.0,0.1,1659.6416850032633,0.0,0.0,592.7344744205475,,,,,,,,,,,,,,,,,,,,,800.5367785496858,425.830164673696,1435.1581209789897,0.5157299757264809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,1881.0,11.0,178.0,4395.0,0.1,1248.3130902142432,0.0,0.0,608.6700928211212,,,,,,,,,,,,,,,,,,,,,605.3626108682279,343.9699974543218,1142.8430888142377,0.5506656697921783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,1906.0,12.0,25.0,4420.0,0.1,103.5379967337196,0.0,0.0,611.2277529239655,,,,,,,,,,,,,,,,,,,,,49.48911802079,31.777703803970542,102.5056776327878,0.3372390626619241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,1960.0,13.0,54.0,4474.0,0.1,228.491975987392,0.0,0.0,616.438684463501,,,,,,,,,,,,,,,,,,,,,110.73258175663779,68.42717153245421,222.95810983409194,0.30210050691250384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,2070.0,14.0,110.0,4584.0,0.1,620.2365474539101,0.0,0.0,626.249368429184,,,,,,,,,,,,,,,,,,,,,294.64753006837236,176.6058942559567,589.0027356148834,0.4516106982357833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,2184.0,15.0,114.0,4698.0,0.1,335.2715701850983,0.0,0.0,636.8619318008423,,,,,,,,,,,,,,,,,,,,,257.7337627376722,135.886352042877,522.5882563207641,0.49706544727562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,2225.0,16.0,41.0,4739.0,0.1,209.11974700578642,0.0,0.0,640.8267605304718,,,,,,,,,,,,,,,,,,,,,108.77306199406952,64.16065060592139,205.06998636677682,0.43988795534304526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,2534.0,17.0,309.0,5048.0,0.1,1788.2948676661033,0.0,0.0,667.8091220855713,,,,,,,,,,,,,,,,,,,,,922.1090502229562,493.7674471862217,1646.8893479520386,8.133871848371234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,2837.0,18.0,303.0,5351.0,0.1,1912.589224625891,0.0,0.0,693.968183517456,,,,,,,,,,,,,,,,,,,,,907.9225246254564,465.01801477513135,1640.7685960879573,6.7270465616394075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,3096.0,19.0,259.0,5610.0,0.1,1351.4414236582595,0.0,0.0,716.7828049659729,,,,,,,,,,,,,,,,,,,,,615.5006404182412,337.4438934270643,1194.4143921598636,0.5542281166140104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,3167.0,20.0,71.0,5681.0,0.1,354.5850289950725,0.0,0.0,723.5495698451996,,,,,,,,,,,,,,,,,,,,,173.114192048226,104.64063295405191,342.979537455021,0.42104422702061844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
